,Unnamed: 0,Seq,Group,Type,SKU,2021 MAPP,2021 List
0,,1.0,ANC,BEAM,7530,$174.00,$217.50
1,,2.0,ANC,BEAM,7531,$168.40,$210.50
2,,3.0,ANC,BEAM,7533,$187.20,$234.00
3,,4.0,ANC,BEAM,7534,$204.40,$255.50
4,,5.0,ANC,BEAM,7535,$204.40,$255.50
5,,6.0,ANC,BEAM,7538,$191.20,$239.00
6,,7.0,ANC,BEAM,7712,$441.20,$551.50
12,,13.0,ANC,CONC,7436,$7.60,$9.50
13,,14.0,ANC,CONC,7440,$114.40,$143.00
14,,15.0,ANC,CONC,7441,$221.60,$277.00
15,,16.0,ANC,CONC,7442,$136.00,$170.00
16,,17.0,ANC,CONC,7448,$8.40,$10.50
17,,18.0,ANC,CONC,7472,$10.00,$12.50
18,,19.0,ANC,CONC,7448L,$6.80,$8.50
19,,20.0,ANC,CONC,7451A,$46.00,$57.50
20,,21.0,ANC,CONC,7451AC,$38.40,$48.00
21,,22.0,ANC,CONC,7451C,$85.20,$106.50
22,,23.0,ANC,PT,7336,$27.20,$34.00
23,,24.0,ANC,PT,7348,$29.20,$36.50
24,,25.0,ANC,PT,7372,$30.80,$38.50
25,,26.0,ANC,PT,737210,$36.40,$45.50
26,,27.0,ANC,ROOF,7410,$26.40,$33.00
27,,28.0,ANC,ROOF,7431,$26.40,$33.00
28,,29.0,ANC,ROOF,7434,$22.40,$28.00
29,,30.0,ANC,ROOF,7444,$6.80,$8.50
30,,31.0,ANC,ROOF,7493A,$44.40,$55.50
31,,32.0,ANC,ROOF,7493B1,$39.20,$49.00
32,,33.0,ANC,Spec,7460A,$344.40,$430.50
33,,34.0,ANC,Spec,7465A,$344.00,$430.00
34,,35.0,ANC,STEEL,7414,$24.00,$30.00
35,,36.0,ANC,STEEL,7427,$40.80,$51.00
36,,37.0,ANC,STEEL,7428,$42.40,$53.00
37,,38.0,ANC,STEEL,7438,$41.60,$52.00
38,,39.0,ANC,STEEL,742808,$44.40,$55.50
39,,40.0,ANC,STEEL,7414P,$22.40,$28.00
40,,41.0,ANC,STEEL,84202D,$51.60,$64.50
41,,42.0,ANC,STEEL,84202DC,$52.40,$65.50
42,,43.0,ANC,STEEL,84202DC4,$50.80,$63.50
43,,44.0,Devices,Con Sp,7281,"$1,415.60","$1,769.50"
44,,45.0,Devices,Con Sp,7297,$536.80,$671.00
45,,46.0,Devices,Con Sp,7500,"$2,847.60","$3,559.50"
46,,47.0,Devices,Con Sp,7505,"$2,045.60","$2,557.00"
47,,48.0,Devices,Con Sp,7507,"$1,554.00","$1,942.50"
48,,49.0,Devices,Con Sp,7508,"$2,305.60","$2,882.00"
49,,50.0,Devices,Con Sp,7509,"$2,772.80","$3,466.00"
74,,75.0,FBH,CONP,7015B,$54.40,$68.00
75,,76.0,FBH,CONP,7015BX/2X,$55.20,$69.00
84,,85.0,FBH,CONP,7073BSM,$82.80,$103.50
89,,90.0,FBH,CONT,7017,$42.40,$53.00
90,,91.0,FBH,CONT,7018,$49.60,$62.00
93,,94.0,FBH,CONT,7016QC,$50.40,$63.00
95,,96.0,FBH,CONT,7017XL,$44.00,$55.00
96,,97.0,FBH,CONT,7018XL,$51.20,$64.00
118,,119.0,FBH,FLSH,7051,$132.80,$166.00
121,,122.0,FBH,FTB,7007XL,$31.20,$39.00
122,,123.0,FBH,IRON,8141SM,$153.60,$192.00
123,,124.0,FBH,IRON,8141LXL,$153.60,$192.00
124,,125.0,FBH,IRON,8143SM,$152.00,$190.00
125,,126.0,FBH,IRON,8143LXL,$152.00,$190.00
134,,135.0,FBH,JOUR,7021,$109.20,$136.50
138,,139.0,FBH,JOUR,7021XL,$109.20,$136.50
140,,141.0,FBH,JOUR,7035L,$160.00,$200.00
141,,142.0,FBH,JOUR,7035M,$160.00,$200.00
142,,143.0,FBH,JOUR,7035XL,$160.00,$200.00
143,,144.0,FBH,JOUR,7035XXL,$160.80,$201.00
147,,148.0,FBH,TMNP,7008BLX,$69.60,$87.00
148,,149.0,FBH,TMNP,7008BSM,$69.60,$87.00
149,,150.0,FBH,TMNP,7009BSM,$72.80,$91.00
150,,151.0,FBH,TMNP,7009BLX,$72.80,$91.00
151,,152.0,FBH,TMNP,7009B2X,$73.60,$92.00
164,,165.0,HLL,4-Man,772030,$657.20,$821.50
165,,166.0,HLL,4-Man,772060,$733.20,$916.50
166,,167.0,HLL,4-Man,772100,$824.80,"$1,031.00"
167,,168.0,HLL,Kern,77302K,$484.00,$605.00
168,,169.0,HLL,Kern,77602K,$507.60,$634.50
169,,170.0,HLL,PSR,770001,$628.80,$786.00
170,,171.0,HLL,PSR,770006,$562.00,$702.50
171,,172.0,KIT,Bag,9000FW,$86.00,$107.50
173,,174.0,KIT,Bag,9005PS,$78.40,$98.00
174,,175.0,KIT,Bag,9010CP,$72.00,$90.00
176,,177.0,KIT,Bucket,9504Z,$65.60,$82.00
177,,178.0,KIT,Bucket,9505Z,$72.80,$91.00
178,,179.0,KIT,CMBO,70158259,$73.60,$92.00
179,,180.0,KIT,Roof,8592A,$134.00,$167.50
180,,181.0,KIT,Roof,8593A,$136.40,$170.50
181,,182.0,KIT,Roof,8595A,$147.20,$184.00
182,,183.0,KIT,Roof,8595RA,$155.20,$194.00
183,,184.0,KIT,Roof,8596A,$167.60,$209.50
186,,187.0,LAN,POS,8250,$98.00,$122.50
187,,188.0,LAN,POS,825012W,$76.00,$95.00
188,,189.0,LAN,POS,8250LT,$77.60,$97.00
189,,190.0,LAN,POS,8252,$68.80,$86.00
190,,191.0,LAN,POS,8252LT,$53.20,$66.50
191,,192.0,LAN,Rest,8204,$32.40,$40.50
192,,193.0,LAN,Rest,8206,$33.20,$41.50
202,,203.0,SRL,DT10,82710SC1,$162.40,$203.00
203,,204.0,SRL,DT10,82710SC3,$180.80,$226.00
204,,205.0,SRL,DT10,82710SG4,$180.00,$225.00
210,,211.0,SRL,DT9C,83709SB7,$192.80,$241.00
215,,216.0,SRL,Dtech C,7265C,$636.80,$796.00
222,,223.0,SRL,LE,727630LE,$457.60,$572.00
231,,232.0,SRL,Mini,72706TB3,$298.40,$373.00
237,,238.0,SRL,Vault,83909SP1,$224.00,$280.00
238,,239.0,SRL,Vault,83909SP3,$240.00,$300.00
239,,240.0,SRL,Vault,83909SP5,$244.00,$305.00
240,,241.0,SRL,Vault,83909SP6,$244.00,$305.00
241,,242.0,SRL,Vault,83909TP1,$388.00,$485.00
242,,243.0,SRL,Vault,83909TP3,$399.20,$499.00
243,,244.0,SRL,Vault,83909TP5,$408.00,$510.00
244,,245.0,SRL,Vault,83909TP6,$408.00,$510.00
246,,247.0,SRL,Web,7276BWR,$304.80,$381.00
247,,248.0,VLL,Grab,7479,$72.40,$90.50
248,,249.0,VLL,Grab,7489,$76.40,$95.50
249,,250.0,VLL,Grab,7491,$82.80,$103.50
251,,252.0,VLL,Grab,8388,$111.20,$139.00
254,,255.0,VLL,Rope,8150,$75.60,$94.50
258,,259.0,VLL,Rope,8200DH,$117.20,$146.50
262,,263.0,ACC,TLAN,5029B,$12.00,$15.00
263,,264.0,ACC,TLAN,5029B10,$110.80,$138.50
